name,image
Tomato,https://www.almanac.com/sites/default/files/styles/or/public/image_nodes/tomatoes_helios4eos_gettyimages-edit.jpeg?itok=2owPswip
Potato,https://plantix.net/en/library/assets/custom/crop-images/potato.jpeg
Corn,https://cdn.farmjournal.com/s3fs-public/styles/840x600/public/corn_crop_-_Crop_Tour.jpg?itok=EJGoKDk_
Apple,https://assets.thehansindia.com/hansindia-bucket/2974_domex.jpg
Grape,https://agriculture.basf.us/content/dam/cxm/agriculture/crop-protection/use-areas/crops/images/CRP160087_Solutions_Grape_Inset.jpg.transform/large1x/img.jpg
Bell Pepper,https://media.istockphoto.com/id/161046734/photo/pepper-plant.jpg?s=612x612&w=0&k=20&c=MrvoueuLK-GejO0fT4YoOgOSxiWsLXHRAFfsrKjk4W0=
Peach,https://www.agrifarming.in/wp-content/uploads/2015/05/Peach-Fruit-Farming.jpg
Cherry,https://bpb-us-e1.wpmucdn.com/blogs.cornell.edu/dist/5/293/files/2018/07/IMG_4694-shqbfz-768x576.jpeg
Soyabean,https://rukminim1.flixcart.com/image/416/416/kj7gwi80-0/plant-seed/x/z/i/100-hs272-shop-360-garden-original-imafyt4reuhczmsh.jpeg?q=70
Raspberry,https://www.diggers.com.au/cdn/shop/products/raspberry-chilcotin-wrachi_9cbb14f9-fdc6-44cc-8f92-09363feaa6a6_2048x.jpg?v=1637120970
Strawberry,https://gardenerspath.com/wp-content/uploads/2020/02/Strawberry-Plants-Growing-in-the-Garden.jpg
Orange,https://www.agrifarming.in/wp-content/uploads/2015/03/Orange-Farming.jpg
Blueberry,https://img.crocdn.co.uk/images/products2/pl/00/00/00/18/pl0000001890.jpg?width=940&height=940
Squash,https://a-z-animals.com/media/2023/03/shutterstock_1365090488-1536x1024.jpg
